Company Name,Total number of students,"Total ""wins""","Total ""loses""",Win-loss balance,ELO,TrueSkill
500px,2,6,2,4,1475,22
A Thinking Ape,5,11,5,6,1486,27
A9.com,17,42,5,37,1720,34
Accenture,2,5,2,3,1435,21
Acerta,2,9,1,8,1535,31
Achievers,6,13,8,5,1467,23
Acuity Ads Inc,2,2,5,-3,1381,14
ADFLOW Networks,2,3,2,1,1411,15
Adobe,3,3,3,0,1370,11
Advanced Interface Design Lab,2,4,4,0,1411,21
Advanced Micro Devices,2,0,7,-7,1322,2
AECL,5,12,14,-2,1389,24
Aerotek,2,4,1,3,1443,18
Aeryon Labs Inc,8,9,11,-2,1420,25
Afilias,4,5,5,0,1360,15
AGF Management Limited,4,11,10,1,1463,24
Agfa Healthcare,4,6,8,-2,1377,17
Agriculture and Agri-Food Canada,30,21,37,-16,1234,18
AIESEC BJTU,2,1,4,-3,1307,0
Airo,2,5,0,5,1483,24
AJB Software Design Inc.,3,9,3,6,1432,20
Alcatel-Lucent,7,5,15,-10,1242,11
Altera,14,26,15,11,1488,28
Amazon,109,202,32,170,1648,33
AMD,24,33,37,-4,1339,24
"ANSYS, Inc.",3,7,3,4,1445,20
Apotex Inc.,2,4,1,3,1434,17
AppCentrica Inc.,6,19,2,17,1586,31
AppDynamics,5,20,3,17,1602,32
Apple,13,34,7,27,1637,32
Apple Inc.,2,3,4,-1,1405,18
AppNexus,4,12,3,9,1517,28
Appnique,2,7,0,7,1499,27
AppZero,3,4,6,-2,1376,16
ArcelorMittal Dofasco,3,4,4,0,1386,19
Aria Solutions,2,1,6,-5,1307,1
"Arista Networks, Inc.",14,32,14,18,1612,29
Armor Games Inc,2,3,4,-1,1371,18
Arroware Industries Inc.,2,4,1,3,1469,21
"Audible, Inc.",4,9,0,9,1540,28
AudienceView Ticketing Corporation,4,3,8,-5,1323,13
Autodesk,30,45,27,18,1400,26
Auvik Networks Inc.,2,6,0,6,1527,28
Avanade,3,13,0,13,1544,28
Avaya,3,6,7,-1,1371,18
Avvasi Incorporated,3,5,3,2,1453,22
Awareness Inc.,2,8,3,5,1455,22
Axentra Corporation,2,1,5,-4,1353,10
Axsium Group,7,5,20,-15,1279,15
Babcock & Wilcox,3,2,6,-4,1335,10
Balzac's Coffee Ltd,2,1,1,0,1384,0
Bank of America,4,6,8,-2,1377,19
Bank of Montreal,8,7,20,-13,1206,15
Bazaarvoice,9,21,7,14,1539,28
BBM Canada,5,10,7,3,1423,22
Beechwood 2 Homes Association,2,2,2,0,1383,9
Behaviour Interactive,2,3,7,-4,1359,11
Bell,2,4,4,0,1419,19
Bell and Howell,3,2,2,0,1337,9
Bell Canada,2,1,3,-2,1302,1
Best Buy,4,3,7,-4,1339,8
Best Buy Canada,3,0,13,-13,1271,1
Bioinformatics Solutions Inc.,6,2,13,-11,1294,10
BlackBerry,234,210,192,18,1173,21
Blackberry Mobiles (RIM),2,3,1,2,1437,20
BLK Design,2,1,1,0,1384,0
Bloomberg,17,41,10,31,1615,31
Blue Coat Systems,19,21,31,-10,1309,21
Blue Sun Inc.,2,4,2,2,1434,21
Blueprint Software Systems,6,15,6,9,1476,25
BlueSun Inc,2,2,4,-2,1371,11
BM Technology Inc,2,6,0,6,1485,23
BMC Software,2,1,5,-4,1351,6
BMO,26,44,34,10,1296,23
BNOTIONS,2,6,1,5,1475,23
Bombardier Transportation,4,3,3,0,1345,15
Bookneto,2,3,7,-4,1356,14
Brave Commerce,2,2,8,-6,1326,12
Bridgit,2,8,0,8,1558,31
Broadcom,11,28,22,6,1500,27
Broadstreetdata.com,2,2,2,0,1380,7
Brock Solutions,6,8,12,-4,1365,21
Bronte College of Canada,4,3,12,-9,1281,11
Buck Consultants,2,1,4,-3,1307,0
Bur Oak Secondary School,2,1,1,0,1384,0
Canada Border Services Agency,5,11,5,6,1449,21
Canada Revenue Agency,2,2,7,-5,1332,8
Canada's Wonderland,4,1,8,-7,1285,0
Canadian Cancer Society,3,1,11,-10,1289,4
Canadian Institute for Health Information,3,5,1,4,1450,18
Canadian Medical Protective Association,2,1,5,-4,1323,0
Canadian Pacific Railway,2,3,8,-5,1339,16
Canadian Space Agency,5,10,14,-4,1328,20
Canadian Tire,10,8,21,-13,1272,14
Canadian Undergraduate Technology Conference,6,8,11,-3,1321,19
Capcom Game Studio Vancouver,5,16,3,13,1526,27
Careerify,5,10,7,3,1450,22
CareZone,2,3,2,1,1433,17
Casale Media,3,8,0,8,1522,29
CaseBank Technologies Inc.,3,2,4,-2,1317,6
CaseWare International Inc.,2,3,3,0,1404,16
CBC,3,3,11,-8,1317,16
CELT,2,1,3,-2,1329,0
Centre for Education and Training,4,2,11,-9,1247,3
Centre for Integrated RF Engineering,2,3,2,1,1411,14
CGI,18,35,35,0,1391,23
Chango,8,17,8,9,1519,29
Christie Digital Systems,23,35,34,1,1466,26
CI Investments Inc.,4,6,8,-2,1388,17
CI Technologies,2,5,1,4,1489,25
CIBC,26,45,34,11,1480,26
Cineplex Entertainment,5,5,10,-5,1326,17
Cisco,4,15,2,13,1548,29
Cisco Systems,6,11,11,0,1436,23
Citadel LLC,2,4,1,3,1448,23
Citi,8,10,11,-1,1415,22
Citizenship and Immigration Canada,2,3,8,-5,1342,13
City of Mississauga,2,4,5,-1,1403,14
City of Toronto,9,9,24,-15,1284,13
City of Waterloo,2,0,3,-3,1361,0
Clearbridge Associates,4,5,8,-3,1311,18
Clearbridge Associates Limited,2,3,5,-2,1377,14
Clearbridge IT Services Inc.,2,5,6,-1,1334,19
Clearbridge Mobile,5,5,11,-6,1352,20
ClevrU,2,6,2,4,1450,22
Code Connect Inc.,2,9,0,9,1540,31
Cognitive Development Lab,2,1,2,-1,1354,-1
Cognizant Technology Solutions,2,1,1,0,1399,6
Cogo Labs,2,6,1,5,1537,31
Coinbase,3,13,1,12,1659,38
Colibri Technologies Inc.,3,7,5,2,1432,23
Communitech,8,15,13,2,1431,23
ConceptWave,4,1,12,-11,1282,9
Conestoga-Rovers & Associates (CRA),2,3,4,-1,1378,13
"Conrad Business, Entrepreneurship and Technology Centre",2,8,4,4,1444,23
Conspec Controls Inc,2,4,7,-3,1367,18
ContextLogic,12,31,14,17,1626,33
Coreworx Inc.,2,3,1,2,1421,16
Coursera,5,22,0,22,1648,34
CPP Investment Board,10,16,15,1,1413,22
Craigleith Ski Club,2,1,1,0,1384,0
Crank Software Inc.,4,9,4,5,1489,23
CREZ Basketball Systems Inc.,2,3,5,-2,1376,18
CSC,2,0,4,-4,1333,0
D+H,2,4,0,4,1451,24
Datadog,3,14,2,12,1528,28
Datahug,3,14,3,11,1543,29
Datalot Inc,7,19,12,7,1465,26
David R. Cheriton School of Computer Science,2,4,3,1,1422,21
DBRS,7,10,5,5,1477,26
DBRS Limited,2,1,2,-1,1384,10
DECA Laurier,2,6,6,0,1401,18
DECA Ontario,3,2,12,-10,1241,6
Defence Research and Development Canada,2,4,5,-1,1410,17
Dejero,2,4,0,4,1460,23
Delego Software Inc.,2,6,1,5,1473,24
Deloitte,9,31,10,21,1592,30
Deloitte Canada,7,19,9,10,1462,26
